_id,device_id,location_id,floor_id,room_id,timestamp,confidence,rssi_vector,x,y,scan_number
9f63ead9-5ade-4cf4-ab13-276a38fbaed8,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T21:55:24.542896,0.88,"{""AP34"": -31.0, ""AP31"": -32.0, ""AP33"": -36.666666666666664, ""AP32"": -27.0}",2.72,1.34,3
79e44fe8-9260-4ecb-be02-4b8ac9d690bb,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T21:56:29.358307,0.91,"{""AP34"": -28.625, ""AP31"": -30.75, ""AP33"": -34.25, ""AP32"": -28.0}",2.68,1.42,8
40eb57d7-8fe1-4615-b943-cf2627a73421,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T21:57:34.175004,0.90,"{""AP34"": -37.625, ""AP31"": -38.125, ""AP33"": -36.25, ""AP32"": -33.0}",2.75,1.58,8
c6aa05ff-1f27-4241-8d04-c7d874da2662,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:00:51.661933,0.85,"{""AP33"": -32.666666666666664, ""AP31"": -32.0, ""AP34"": -41.0, ""AP32"": -34.333333333333336}",2.08,1.29,3
6f211385-37ea-46aa-8e2d-8cf38b356e4b,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:01:56.478921,0.89,"{""AP33"": -41.625, ""AP31"": -35.75, ""AP34"": -35.25, ""AP32"": -27.25}",2.41,1.22,8
4be45bf5-fe06-4092-ace0-f0bf804080c6,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:03:01.342400,0.94,"{""AP33"": -45.5, ""AP31"": -35.625, ""AP34"": -45.5, ""AP32"": -42.25}",2.55,1.42,8
f8cc59b8-bc5d-4316-920c-1314d87ae4f5,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:04:06.177742,0.45,"{""AP33"": -41.625, ""AP31"": -51.25, ""AP34"": -42.375, ""AP32"": -43.625}",3.02,3.09,8
512b6714-e4b8-4247-a212-e2189c504236,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:05:10.997926,0.83,"{""AP33"": -36.5, ""AP31"": -41.5, ""AP34"": -40.5, ""AP32"": -41.375}",2.00,1.79,8
1bf7c7bd-ddc9-4852-962c-b6cc4fa3b028,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:35:36.942259,0.68,"{""AP32"": -32.666666666666664, ""AP31"": -29.333333333333332, ""AP33"": -27.333333333333332, ""AP34"": -29.333333333333332}",0.00,0.00,3
a4d82450-9ddc-4e8b-a7fd-18da6009262c,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:36:41.681639,0.90,"{""AP32"": -34.75, ""AP31"": -42.5, ""AP33"": -35.0, ""AP34"": -34.875}",0.00,0.00,8
7ec7fa83-05be-4571-a282-07889eeda412,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:37:46.470513,0.80,"{""AP32"": -33.875, ""AP31"": -39.875, ""AP33"": -42.625, ""AP34"": -42.625}",0.00,0.00,8
8405a153-058f-477e-87b5-637ad882e836,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:38:51.266283,0.52,"{""AP32"": -40.25, ""AP31"": -43.5, ""AP33"": -46.0, ""AP34"": -40.875}",0.00,0.00,8
e9722dc0-92dc-4468-b71d-1473a6f34a08,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:39:56.047014,0.47,"{""AP32"": -40.125, ""AP31"": -44.25, ""AP33"": -46.25, ""AP34"": -40.5}",0.00,0.00,8
633af6b7-6aea-42d9-85e9-1f3f8fd3c474,NOTHINGPHONE,Carleton_University,Floor_3,Outside Defined Area,2026-02-22T22:47:25.371508,0.87,"{""AP34"": -51.0, ""AP32"": -47.333333333333336, ""AP31"": -52.0, ""AP33"": -48.666666666666664}",0.00,0.00,3
507d097e-2aef-4007-aab8-fd7bb89d79eb,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:48:30.165606,0.71,"{""AP34"": -43.625, ""AP32"": -43.25, ""AP31"": -47.875, ""AP33"": -40.25}",0.00,0.00,8
fea0893c-1b79-4766-b339-9fea2862ab8c,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:49:34.964778,0.79,"{""AP34"": -36.0, ""AP32"": -40.5, ""AP31"": -39.0, ""AP33"": -39.125}",0.00,0.00,8
27118a64-68e3-4076-9650-6c18cd558c8e,NOTHINGPHONE,Carleton_University,Floor_3,324B,2026-02-22T22:50:39.758910,0.84,"{""AP34"": -34.625, ""AP32"": -39.625, ""AP31"": -38.125, ""AP33"": -38.75}",0.00,0.00,8
